trial,elapsed_s,rmse,learning_rate,num_leaves,max_depth,min_child_samples,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2
20,14.86,552.5441034276562,0.006461691271529537,24,7,72,0.5759337047187304,0.8705650140164914,2,0.0010758832052969848,0.004271307271137858
21,16.1,481.12000956807043,0.08637344444716474,109,5,26,0.9857454895973206,0.5705831457897752,1,0.0005409728700623541,0.0015315628036164908
22,16.29,496.2771037817687,0.24359303248644196,162,3,37,0.735809937119484,0.5907188358778661,1,0.00013123983625119826,0.01720557543253931
23,16.48,497.1852977446462,0.14487642021301492,236,5,22,0.5900627970695496,0.7175516706068488,3,0.003116462075666448,0.0008651255635616761
24,16.83,511.0888013866687,0.03791821206573926,82,6,10,0.5319088809192181,0.7478351818301883,7,0.0035552264655256184,0.005186205388586329
25,16.96,473.4147677446708,0.23513990819222716,241,4,8,0.8048834800720215,0.6452045490751592,7,0.0007277663614911941,0.004089719747583463
26,17.29,505.0078472476604,0.24674065194416703,101,5,8,0.9273063588744528,0.7890100675551861,4,0.0035364772120450587,0.0021927644863462153
27,17.4,480.24155141780375,0.2504231813267609,166,4,9,0.9872726218431158,0.6975348257077212,6,0.00011474607774899396,0.008660780428654138
28,17.51,493.20775691724265,0.28188371762335496,208,5,15,0.9078871953418225,0.7278839204352587,3,0.01115744456377586,0.001082965357830125
29,17.67,498.3614709066881,0.161032518761582,96,4,27,0.8988900228105741,0.609925167740463,7,0.00010822507547525157,0.015167547470075031
30,17.79,506.00886932430984,0.28637775428580275,226,5,43,0.8211251127379626,0.7954061517171582,3,0.00040430430422226595,0.0005833002007151285
31,18.22,531.32878597527,0.1455636520910635,243,6,5,0.5977236777544022,0.7706452813135679,6,0.00014000257380725935,0.0010676569997489073
32,18.43,500.6168778132137,0.2838792685874297,160,5,22,0.883614718914032,0.6203077428331186,3,0.00016764193629694766,0.02609496383731536
33,18.55,502.8534345932545,0.2797941857313194,247,4,16,0.6736812144517899,0.6007027674495977,6,0.00040576821985266335,0.00043143115090797933
34,18.71,480.6439662736834,0.2708658341057929,233,7,19,0.6918853372335434,0.5731479032550715,7,0.00013706462252329984,0.0005026073024613485
35,18.8,477.5562871798973,0.2428256386110084,239,3,7,0.8634674251079559,0.5564137705256365,3,0.00017844452041420488,0.000610499826711948
36,19.2,505.01394589112124,0.179896075714078,165,3,32,0.8387345846882783,0.6081794926700785,7,0.0013404989307684032,0.0015243942262004634
37,19.36,485.60359218164757,0.18204786325259106,245,4,9,0.8657034941226927,0.5943140403408389,5,0.0029261998672284197,0.0015773609990608812
38,19.48,500.08303779997567,0.22493576883630495,191,4,27,0.8134347348289366,0.6169553563905099,7,0.00015168375445821558,0.0019224855676166861
39,19.63,495.6764442769826,0.24191438428102077,247,4,30,0.9249816723462925,0.5928398421635259,5,0.00013740396424818848,0.002164741741994085
40,19.77,496.7530890574611,0.2494986985352375,244,5,26,0.9529932483574022,0.59369720239626,5,0.00034025307429911926,0.009862249057315335
41,20.09,505.32169747157224,0.29521726247157404,247,5,7,0.7628857839664249,0.6428617115974671,6,0.002654559755541523,0.009794137895812186
42,20.36,499.0654493758003,0.21941549855995907,241,5,12,0.8385929519361155,0.6746018170173159,7,0.0075924988757405725,0.011528608789857751
43,20.54,502.72522215980825,0.17903465841442948,168,4,6,0.6951564617469359,0.6473776736035719,5,0.00025364434977815113,0.0017224822287449154
44,20.72,506.94888087663514,0.14017469391216003,205,6,10,0.8162537509831642,0.6670390810949405,6,0.005639909065465989,0.015044139894427115
45,20.85,500.1160871836738,0.16556885505952096,255,5,24,0.9549783899902271,0.6439987938172143,5,0.0009246168360091484,0.0015229874172650866
46,21.23,468.5737655398152,0.23142340982638882,227,5,6,0.8726038167959489,0.6662242907308892,7,0.0019422931877299866,0.003552138838319781
47,21.4,478.976818809858,0.21779831790497853,207,3,7,0.7244311394133192,0.6815485272096322,6,0.0005255967333471842,0.004449604947872648
48,21.51,489.68985019855444,0.22270267415137157,250,3,6,0.7961000690424692,0.621915502294903,7,0.0015702070955943902,0.003568755264539428
49,21.74,467.59619049138894,0.20526482956828956,237,3,5,0.8680224496002157,0.6490126776569739,6,0.00040292815694474186,0.005065158418266297
50,21.91,495.07893982955676,0.19014686819591456,214,3,10,0.870179625468538,0.6265584855410409,7,0.002594339673744283,0.003104258839188605
51,22.26,494.48984256558504,0.2686353560666667,227,5,9,0.9062737951077733,0.6524402967586419,6,0.00040719551228862673,0.003526311514420254
52,22.5,500.3046844548068,0.13013061288100153,239,5,9,0.9566253447432944,0.6596304481487363,7,0.0003371311589746658,0.006618480908902567
53,22.69,501.2471682793359,0.29690739002450234,219,5,7,0.9168597582771618,0.6508379216154301,6,0.0004420085672963649,0.0034264656617799746
54,22.92,486.13295840377566,0.2776704779641536,253,4,19,0.9044815314906095,0.6568523728178479,7,0.0002409260574223592,0.006453036191902702
55,23.04,484.2045145717881,0.22439176786521936,252,3,7,0.8311303339209559,0.6546352309690688,7,0.0001946523520163195,0.006599452725119463
56,23.48,499.1255520339595,0.18530294490404148,221,4,5,0.888548666912826,0.6707996071788629,6,0.0006366199497665381,0.005450652510565292
57,23.61,482.5811203767751,0.17941871085026212,245,3,11,0.9282689009022856,0.6504837226322714,6,0.0005173266061596027,0.005469530662840854
58,23.75,478.2147746952687,0.21813292605991727,241,3,13,0.947430486408427,0.6639129906497063,6,0.000960608853161513,0.008592722971080106
59,23.89,482.45809851956767,0.21324821733114055,246,3,12,0.9143806008202093,0.6592818574925348,6,0.0008251666762797854,0.006096045774202945
